ratio	total
0.0	1622
0.005	1
0.006	3
0.007	3
0.008	4
0.009	2
0.01	2
0.011	8
0.012	4
0.013	12
0.014	16
0.015	4
0.016	9
0.017	13
0.018	10
0.019	9
0.02	13
0.021	6
0.022	14
0.023	5
0.024	6
0.025	10
0.026	15
0.027	15
0.028	15
0.029	14
0.03	16
0.031	15
0.032	11
0.033	5
0.034	6
0.035	8
0.036	11
0.037	9
0.038	10
0.039	8
0.04	8
0.041	9
0.042	13
0.043	16
0.044	10
0.045	11
0.046	9
0.047	8
0.048	13
0.049	5
0.05	14
0.051	10
0.052	7
0.053	14
0.054	8
0.055	2
0.056	10
0.057	8
0.058	5
0.059	10
0.06	7
0.061	13
0.062	5
0.063	11
0.064	5
0.065	9
0.066	5
0.067	14
0.068	3
0.069	5
0.07	6
0.071	19
0.072	8
0.073	7
0.074	7
0.075	5
0.076	7
0.077	18
0.078	4
0.079	14
0.08	7
0.081	5
0.082	3
0.083	19
0.084	2
0.085	8
0.086	9
0.087	4
0.088	7
0.089	4
0.09	3
0.091	22
0.092	5
0.093	3
0.094	5
0.095	6
0.096	2
0.097	3
0.098	5
0.099	4
0.1	30
0.101	3
0.102	4
0.103	8
0.104	4
0.105	7
0.106	2
0.107	4
0.108	4
0.109	4
0.11	5
0.111	35
0.112	4
0.113	6
0.114	3
0.115	3
0.116	2
0.117	7
0.118	6
0.119	3
0.12	7
0.121	1
0.122	3
0.123	3
0.124	3
0.125	27
0.126	2
0.127	3
0.128	2
0.129	3
0.13	5
0.131	2
0.132	4
0.133	11
0.134	1
0.135	3
0.136	5
0.138	8
0.139	3
0.14	2
0.141	2
0.142	1
0.143	37
0.144	3
0.146	3
0.147	2
0.148	3
0.149	3
0.15	3
0.151	2
0.152	5
0.153	2
0.154	11
0.155	1
0.156	3
0.157	4
0.158	5
0.159	2
0.16	4
0.161	2
0.162	3
0.163	1
0.164	1
0.165	1
0.167	37
0.168	1
0.17	4
0.171	1
0.172	2
0.174	3
0.175	1
0.176	4
0.178	2
0.179	2
0.18	3
0.182	9
0.183	5
0.184	4
0.185	4
0.187	1
0.188	9
0.189	2
0.19	4
0.192	1
0.193	1
0.194	4
0.195	2
0.196	2
0.198	1
0.199	1
0.2	42
0.201	2
0.203	2
0.204	2
0.205	2
0.206	2
0.208	5
0.209	1
0.211	2
0.213	1
0.214	6
0.217	3
0.218	3
0.219	1
0.22	2
0.222	7
0.224	2
0.227	3
0.229	2
0.23	1
0.231	8
0.232	1
0.233	2
0.236	2
0.238	1
0.244	1
0.247	1
0.249	1
0.25	65
0.253	1
0.256	2
0.257	1
0.258	2
0.259	1
0.261	3
0.262	1
0.263	3
0.265	1
0.266	1
0.267	4
0.268	1
0.27	1
0.271	1
0.273	6
0.274	1
0.276	1
0.278	2
0.282	1
0.283	2
0.284	1
0.286	23
0.29	2
0.291	2
0.294	2
0.296	3
0.299	2
0.3	4
0.303	1
0.304	1
0.306	1
0.308	4
0.31	1
0.313	1
0.314	1
0.318	2
0.32	1
0.321	1
0.324	1
0.325	1
0.327	2
0.333	91
0.339	1
0.342	1
0.344	1
0.353	2
0.355	1
0.356	1
0.357	1
0.36	1
0.362	1
0.364	3
0.367	1
0.368	1
0.369	1
0.372	1
0.373	1
0.374	1
0.375	4
0.376	1
0.377	1
0.379	1
0.38	1
0.383	2
0.384	1
0.385	2
0.392	1
0.394	1
0.4	18
0.411	1
0.417	2
0.424	1
0.427	1
0.429	10
0.43	1
0.432	1
0.437	1
0.438	1
0.442	1
0.443	1
0.444	5
0.446	1
0.454	1
0.455	3
0.462	2
0.464	1
0.467	2
0.471	1
0.476	2
0.478	1
0.479	1
0.483	2
0.487	1
0.494	1
0.496	1
0.5	129
0.505	1
0.508	3
0.524	1
0.529	1
0.532	1
0.533	1
0.538	1
0.542	1
0.545	5
0.548	1
0.554	1
0.555	1
0.556	1
0.56	1
0.571	7
0.581	1
0.583	1
0.588	1
0.596	1
0.597	1
0.6	6
0.61	1
0.617	1
0.625	4
0.626	1
0.627	1
0.632	1
0.638	1
0.644	1
0.655	1
0.656	1
0.667	31
0.698	1
0.7	2
0.707	1
0.711	1
0.714	6
0.721	1
0.731	1
0.734	1
0.75	13
0.761	1
0.765	1
0.77	1
0.773	1
0.778	3
0.794	1
0.797	1
0.8	1
0.811	1
0.814	2
0.819	1
0.833	4
0.846	1
0.852	1
0.875	3
0.88	1
0.9	2
0.923	1
0.957	1
1.0	143
1.059	1
1.072	1
1.078	1
1.093	1
1.098	1
1.111	1
1.176	1
1.178	1
1.2	2
1.24	1
1.25	1
1.263	1
1.273	1
1.286	1
1.333	4
1.375	2
1.4	3
1.409	1
1.411	1
1.429	1
1.435	1
1.444	1
1.5	10
1.51	1
1.556	1
1.591	1
1.647	1
1.667	1
1.714	1
1.765	1
1.8	1
1.833	1
1.857	1
2.0	22
2.2	1
2.222	1
2.333	1
2.5	2
2.667	1
3.0	3
3.029	1
3.5	1
3.508	1
3.513	1
3.6	1
3.833	1
4.0	4
4.25	1
4.542	1
4.571	1
4.726	1
5.0	2
6.0	1
7.0	1
7.609	1
8.75	1
15.0	1
